ra,dec,name,color,radius
187.4779,7.1382,,red,5.0
187.4953,0.0272,,red,5.0
187.4962,12.3487,,red,5.0
187.4979,8.4319,,red,5.0
187.5025,7.9294,,red,5.0
187.511,9.4032,,red,5.0
187.521,8.0733,,red,5.0
187.543,10.7795,,red,5.0
187.5454,12.1954,,red,5.0
187.5575,2.6249,,red,5.0
187.5672,10.533,,red,5.0
187.5706,9.0852,,red,5.0
187.5726,12.3286,,red,5.0
187.5766,13.5777,,red,5.0
187.6115,4.2463,,red,5.0
187.6247,19.673,,red,5.0
187.6661,15.1297,,red,5.0
187.6693,9.0157,,red,5.0
187.675,5.8789,,red,5.0
187.686,13.7994,,red,5.0
187.693,12.0992,,red,5.0
